First Author (last),First Author (first),et al.,Modern Location,Modern Latitude,Modern Longitude,Paleo-Latitude,Paleo-Longitude,Numerical Age,Period,Epoch,Age,Formation,Host Litho,Year,DOI,Title,Citation (MLA 9),Note
Adams,A. E.,-,"Monyash, Derbyshire",53.19512,-1.77485,,,,Carboniferous,-,-,Eyam Limestone,-,1980,10.1111/j.1365-3091.1980.tb01653.x,Calcrete profiles in the Eyam Limestone (Carboniferous) of Derbyshire:petrology and regional significance,"Adams, A. E. “Calcrete Profiles in the Eyam Limestone (Carboniferous) of Derbyshire: Petrology and Regional Significance.” Sedimentology, vol. 27, no. 6, 1980, pp. 651–60. Wiley Online Library, https://doi.org/10.1111/j.1365-3091.1980.tb01653.x.
",
Aissaoui,Djafar M,"Purser, Bruce H","Fnoud, Algeria",35.260556,4.636944,,,,Jurassic,Late,-,-,Ouled Nail mountains,1983,10.1111/j.1365-3091.1983.tb00670.x,Nature and origins of internal sediments in Jurassic limestones of Burgundy (France) and Fnoud (Algeria),"Aissaoui, Djafar M., and Bruce H. Purser. “Nature and Origins of Internal Sediments in Jurassic Limestones of Burgundy (Franc) and Fnoud (Algeria).” Sedimentology, vol. 30, no. 2, 1983, pp. 273–83. Wiley Online Library, https://doi.org/10.1111/j.1365-3091.1983.tb00670.x.",
Aissaoui,Djafar M,"Purser, Bruce H","Burgundy, France",47,4.499997,,,,Jurassic,Middle,-,-,Paris Basin,1983,10.1111/j.1365-3091.1983.tb00670.x,Nature and origins of internal sediments in Jurassic limestones of Burgundy (France) and Fnoud (Algeria),"Aissaoui, Djafar M., and Bruce H. Purser. “Nature and Origins of Internal Sediments in Jurassic Limestones of Burgundy (Franc) and Fnoud (Algeria).” Sedimentology, vol. 30, no. 2, 1983, pp. 273–83. Wiley Online Library, https://doi.org/10.1111/j.1365-3091.1983.tb00670.x.",
Aissaoui,Djafar M,-,"chott el Hodna, Algeria",35.296756,4.721604,,,,Jurassic,Late,-,-,Djebel Meharga,1989,10.1016/0899-5362(89)90025-0,"Paléogéographie du Jurassique supérieur au sud du choot El Hodna, Algérie","Aissaoui, Djafar M. “Paléogéographie du Jurassique supérieur au sud du choot El Hodna, Algérie.” Journal of African Earth Sciences, vol. 9, no. 3/4, 1989, pp. 413–20. Zotero, https://doi.org/10.1016/0899-5362(89).",
Alonso Zarza,A.M.,"Calvo, J.P.; García del Cura, M.A.","Argecilla, Spain",40.884167,2.816389,,,13.82-11.63,Neogene,Miocene,Serravallian,Intermediate Unit,Madrid Basin,1992,10.1016/0037-0738(92)90138-H,"Palustrine sedimentation and associated features grainification and pseudo-microkarst in the Middle Miocene (Intermediate Unit) of the Madrid Basin, Spain","Alonso Zarza, A. M., et al. “Palustrine Sedimentation and Associated Features—Grainification and Pseudo-Microkarst—in the Middle Miocene (Intermediate Unit) of the Madrid Basin, Spain.” Sedimentary Geology, vol. 76, no. 1–2, Feb. 1992, pp. 43–61. DOI.org (Crossref), https://doi.org/10.1016/0037-0738(92)90138-H.",
Armenteros,Ildefonso,-,"Adrada de Haza, Spain",41.594287,-3.8213274,,,,Neogene,Miocene,-,Lower Unit,Duero Basin,2010,10.1016/S0070-4571(09)06202-5,Chapter 2 Diagenesis of Carbonates in Continental Settings,"Armenteros, Ildefonso. “Chapter 2 Diagenesis of Carbonates in Continental Settings.” Developments in Sedimentology, vol. 62, Elsevier, 2010, pp. 61–151. DOI.org (Crossref), https://doi.org/10.1016/S0070-4571(09)06202-5.",
Armenteros,Ildefonso,,"Fuentegelmes, Spain",41.362802,-2.671756,,,,Neogene,Miocene,-,"Palustrine facies,",Almazán Basin,2010,10.1016/S0070-4571(09)06202-5,Chapter 2 Diagenesis of Carbonates in Continental Settings,"Armenteros, Ildefonso. “Chapter 2 Diagenesis of Carbonates in Continental Settings.” Developments in Sedimentology, vol. 62, Elsevier, 2010, pp. 61–151. DOI.org (Crossref), https://doi.org/10.1016/S0070-4571(09)06202-5.",
Armenteros,Ildefonso,-,"Milagros, Spain",41.576632,-3.690196,,,,Neogene,Miocene,-,Lower Unit,Duero Basin,2010,10.1016/S0070-4571(09)06202-5,Chapter 2 Diagenesis of Carbonates in Continental Settings,"Armenteros, Ildefonso. “Chapter 2 Diagenesis of Carbonates in Continental Settings.” Developments in Sedimentology, vol. 62, Elsevier, 2010, pp. 61–151. DOI.org (Crossref), https://doi.org/10.1016/S0070-4571(09)06202-5.",
Armenteros,Ildefonso,-,"Adrada de Haza, Spain",41.593444,-3.824347,,,,Neogene,Miocene,-,Lower Unit,Duero Basin,2010,10.1016/S0070-4571(09)06202-5,Chapter 2 Diagenesis of Carbonates in Continental Settings,"Armenteros, Ildefonso. “Chapter 2 Diagenesis of Carbonates in Continental Settings.” Developments in Sedimentology, vol. 62, Elsevier, 2010, pp. 61–151. DOI.org (Crossref), https://doi.org/10.1016/S0070-4571(09)06202-5.",
Ashley,Gail M.,"Driese, Steven G.","Olduvai Gorge, Tanzania",-2.993515,35.363641,,,1.75,Quaternary,Pleistocene,Calabrian,Lemuta member,Olduvai Basin,2000,10.1306/040300701065,"Paleopedology and Paleohydrology of a Volcaniclastic Paleosol Interval: Implications for Early Pleistocene Stratigraphy and Paleoclimate Record, Olduvai Gorge, Tanzania","Ashley, G. M., and S. G. Driese. “Paleopedology and Paleohydrology of a Volcaniclastic Paleosol Interval: Implications for Early Pleistocene Stratigraphy and Paleoclimate Record, Olduvai Gorge, Tanzania.” Journal of Sedimentary Research, vol. 70, no. 5, Sept. 2000, pp. 1065–80. DOI.org (Crossref), https://doi.org/10.1306/040300701065.",
Ashley,Gail M.,"Driese, Steven G.","Olduvai Gorge, Tanzania",-2.990601,35.366902,,,1.75,Quaternary,Pleistocene,Calabrian,Lemuta member,Olduvai Basin,2000,10.1306/040300701065,"Paleopedology and Paleohydrology of a Volcaniclastic Paleosol Interval: Implications for Early Pleistocene Stratigraphy and Paleoclimate Record, Olduvai Gorge, Tanzania","Ashley, G. M., and S. G. Driese. “Paleopedology and Paleohydrology of a Volcaniclastic Paleosol Interval: Implications for Early Pleistocene Stratigraphy and Paleoclimate Record, Olduvai Gorge, Tanzania.” Journal of Sedimentary Research, vol. 70, no. 5, Sept. 2000, pp. 1065–80. DOI.org (Crossref), https://doi.org/10.1306/040300701065.",
Assereto,Riccardo,"Folk, Robert L.","Lombarfdia, Italy",45.888883,9.731355,,,,Triassic,Middle-Late,Ladinian-Carnian,Calcare Rosso limestone,Southern Alps,1980,10.1306/212F7A0E-2B24-11D7-8648000102C1865D,"Diagenetic Fabrics of Aragonite, Calcite, and Dolomite in an Ancient Peritidal-Spelean Environment: Triassic Calcare Rosso, Lombardia, Italy","Assereto, Riccardo, and Robert L. Folk. “Diagenetic Fabrics of Aragonite, Calcite, and Dolomite in an Ancient Peritidal-Spelean Environment: Triassic Calcare Rosso, Lombardia, Italy.” SEPM Journal of Sedimentary Research, vol. Vol. 50, 1980. DOI.org (Crossref), https://doi.org/10.1306/212F7A0E-2B24-11D7-8648000102C1865D.",
Assereto,Riccardo,"Kendall, Christopher","Val Brembana, Italy",45.897168,9.65765,,,,Triassic,Middle-Late,Ladinian-Carnian,Calcare Rosso,Southern Alps,1977,10.1111/j.1365-3091.1977.tb00254.x,"Nature, origin and classification of peritidal tepee structures and related breccias","Assereto, Riccardo L. A. M., and Christopher G. St C. Kendall. “Nature, Origin and Classification of Peritidal Tepee Structures and Related Breccias.” Sedimentology, vol. 24, no. 2, 1977, pp. 153–210. Wiley Online Library, https://doi.org/10.1111/j.1365-3091.1977.tb00254.x.",
Assereto,Riccardo,"Kendall, Christopher","Presolana, Italy",45.915444,10.100367,,,,Triassic,Middle-Late,Ladinian-Carnian,Breno Formation,Southern Alps,1977,10.1111/j.1365-3091.1977.tb00254.x,"Nature, origin and classification of peritidal tepee structures and related breccias","Assereto, Riccardo L. A. M., and Christopher G. St C. Kendall. “Nature, Origin and Classification of Peritidal Tepee Structures and Related Breccias.” Sedimentology, vol. 24, no. 2, 1977, pp. 153–210. Wiley Online Library, https://doi.org/10.1111/j.1365-3091.1977.tb00254.x.",
Aubrecht,Roman,"Szulc, Joachim; Michalik, Jozef; Schlogl, Jan; Wagreich, Michael","Slavnicke Podhorie, Slovakia",49.017663,18.156842,,,,Jurassic,Middle,Bathonian-Callovian,Czorsztyn Unit,Pieniny Klippen Belt,2002,10.1007/bf02667709,Middle Jurassic Stromatactis Mud-mound in the Pieniny Klippen Belt (Western Carpathians),"Aubrecht, Roman, et al. “Middle Jurassic Stromatactis Mud-Mound in the Pieniny Klippen Belt (Western Carpathians).” Facies, vol. 47, 2002, pp. 113–26. Springer Link, https://doi.org/10.1007/bf02667709.",
Azennoud,Khalil,"Baali, Abdennasser; Mesquita-Joanes, Francesc; El Asmi, Hicham; Ait Brahim, Yassine",northern Morocco,33.559006,4.930656,,,,Jurassic,Early,-,FA2 palustrine bioclastic limestone,Lake Ifrah Basin,2023,10.1016/j.sedgeo.2023.106376,"Disentangling orbital, sub-orbital, and tectonic signatures from lacustrine sediments developed upon a half-graben (Lake Ifrah Basin, Northwest Africa): Insights into lowest-rank T-R sequences in low accommodation basins","Azennoud, Khalil, et al. “Disentangling Orbital, Sub-Orbital, and Tectonic Signatures from Lacustrine Sediments Developed upon a Half-Graben (Lake Ifrah Basin, Northwest Africa): Insights into Lowest-Rank T-R Sequences in Low Accommodation Basins.” Sedimentary Geology, vol. 449, May 2023, p. 106376. ScienceDirect, https://doi.org/10.1016/j.sedgeo.2023.106376.",
Baceta,Juan Ignacio,"Paul Wright, V; Beavington-Penney, Simon J; Pujalte, Victoriano","Vitoria-Gasteiz, Spain",42.843268,-2.294106,,,61.6-59.2,Paleogene,Paleocene,Selandian,Urbasa–Andia ridge,Western Pyrenees,2007,10.1016/j.sedgeo.2007.01.024,"Palaeohydrogeological control of palaeokarst macro-porosity genesis during a major sea-level lowstand: Danian of the Urbasa–Andia plateau, Navarra, North Spain","Baceta, Juan Ignacio, et al. “Palaeohydrogeological Control of Palaeokarst Macro-Porosity Genesis during a Major Sea-Level Lowstand: Danian of the Urbasa–Andia Plateau, Navarra, North Spain.” Sedimentary Geology, vol. 199, no. 3, July 2007, pp. 141–69. ScienceDirect, https://doi.org/10.1016/j.sedgeo.2007.01.024.",
Bhatt,Nilesh,"Patel, M.P.","Saurashtra, India",22.200159,68.996684,,,,Quaternary,Pleistocene,-,Carbonate Deposits,Saurashtra Peninsula,1996,10.17491/jgsi/1996/480406,Petrographic Criteria for Freshwater Diagenesis of Saurashtra Miliolites,"Bhatt, Nilesh, and M. P. Patel. “Petrographic Criteria for Freshwater Diagenesis of Saurashtra Miliolites.” Journal of the Geological Society of India, vol. 48, Oct. 1996, pp. 415–19. ResearchGate, https://doi.org/10.17491/jgsi/1996/480406.",
Bonatti,E,"Sartori, R; Boersma, A",mid-Atlantic,11.132222,44.7025,,,,Neogene,Pliocene,-,Vema Transform,mid-Atlantic,1982,10.1016/0040-1951(83)90042-2,Vertical crustal movements at the Vema Fracture Zone in the Atlantic: Evidence from dredged limestones,"Bonatti, E., et al. “Vertical Crustal Movements at the Vema Fracture Zone in the Atlantic: Evidence from Dredged Limestones.” Tectonophysics, vol. 91, no. 3–4, Jan. 1983, pp. 213–32. DOI.org (Crossref), https://doi.org/10.1016/0040-1951(83)90042-2.",
Booler,Jon,"Tucker, Maurice E.","Tremp, Spain",42.21,0.886667,,,,Cretaceous,Late,-,Tremp region,Spanish Pyrenees,2002,10.1016/S0037-0738(01)00120-8,"Distribution and geometry of facies and early diagenesis: the key  to accommodation space variation and sequence stratigraphy:  Upper Cretaceous Congost Carbonate platform, Spanish Pyrenees","Booler, Jon, and Maurice E. Tucker. “Distribution and Geometry of Facies and Early Diagenesis: The Key to Accommodation Space Variation and Sequence Stratigraphy: Upper Cretaceous Congost Carbonate Platform, Spanish Pyrenees.” Sedimentary Geology, vol. 146, no. 3–4, Jan. 2002, pp. 225–47. DOI.org (Crossref), https://doi.org/10.1016/S0037-0738(01)00120-8.",
Bosence,Dan,"Gallois, Arnaud","Isle of Portland, England",50.569899,-2.431731,,,,Jurassic,Late,-,Kimmeridge Clay,Freshwater Bay,2022,10.1111/sed.12933,"How do thrombolites form? Multiphase construction of lacustrine microbialites, Purbeck Limestone Group, (Jurassic), Dorset, UK","Bosence, Dan, and Arnaud Gallois. “How Do Thrombolites Form? Multiphase Construction of Lacustrine Microbialites, Purbeck Limestone Group, (Jurassic), Dorset, UK.” Sedimentology, vol. 69, no. 2, 2022, pp. 914–53. Wiley Online Library, https://doi.org/10.1111/sed.12933.",
Brocx,M,"Semeniuk, V; Percival, I.G.","New South Wales, Australia",-33.593945,148.89471,,,,Ordovician,Late,-,Fossil Hill Limestone,Cliefden Caves,2019,10.1080/08120099.2019.1569128,"Global geoheritage significance of Ordovician stratigraphy and sedimentology in the Cliefden Caves area, central western New South Wales","Brocx, M., et al. “Global Geoheritage Significance of Ordovician Stratigraphy and Sedimentology in the Cliefden Caves Area, Central Western New South Wales.” Australian Journal of Earth Sciences, vol. 66, no. 6, Aug. 2019, pp. 879–90. DOI.org (Crossref), https://doi.org/10.1080/08120099.2019.1569128.",
Buonocunto,Francesco P.,"D'Argenio, Bruno; Ferreri, Vittoria; Sandulli, Rosaria","Campania Apennines, Italy",41.220131,14.254525,,,,Cretaceous,Late,Santonian,Monte Sant'Erasmo,southern Apennines,1999,10.1006/cres.1998.0138,"Orbital cyclostratigraphy and sequence stratigraphy of Upper Cretaceous platform carbonates at Monte Sant’Erasmo, southern Apennines, Italy","Buonocunto, Francesco P., et al. “Orbital Cyclostratigraphy and Sequence Stratigraphy of Upper Cretaceous Platform Carbonates at Monte Sant’Erasmo, Southern Apennines, Italy.” Cretaceous Research, vol. 20, no. 1, Feb. 1999, pp. 81–95. DOI.org (Crossref), https://doi.org/10.1006/cres.1998.0138.",
Calner,Mikael,-,"Klintehamn, Sweden",57.378453,18.220689,,,438.5-427.4,Silurian,Middle,-,-,Baltic Basin,2001,10.1016/S0037-0738(01)00144-0,"A lowstand epikarstic intertidal flat from the middle Silurian of Gotland, Sweden","Calner, Mikael. “A Lowstand Epikarstic Intertidal Flat from the Middle Silurian of Gotland, Sweden.” Sedimentary Geology, vol. 148, no. 3, May 2002, pp. 389–403. ScienceDirect, https://doi.org/10.1016/S0037-0738(01)00144-0.",
Calner,Mikael,"Säll, Ewa","Gotland, Sweden",57.607901,18.723145,,,,Silurian,Wenlock,Homerian,Slite Rocky Shoreline Unconformity,Baltic Basin,1999,10.1080/11035899901212091,"Transgressive oolites onlapping a Silurian rocky shoreline unconformity, Gotland, Sweden","Calner, Mikael, and Ewa Säll. “Transgressive Oolites Onlapping a Silurian Rocky Shoreline Unconformity, Gotland, Sweden.” GFF, vol. 121, no. 2, June 1999, pp. 91–100. Taylor and Francis+NEJM, https://doi.org/10.1080/11035899901212091.",
Carsten,Reinhold,-,"Stuttgart, Germany",48.680281,9.667305,,,,Jurassic,Late,Oxfordian,limestone,Swabian Alb,1998,10.1306/D42687B6-2B26-11D7-8648000102C1865D,Ancient Helictites and the Formation of Vadose Crystal Silt in Upper Jurassic Carbonates (Southern Germany),"Carsten Reinhold. “Ancient Helictites and the Formation of Vadose Crystal Silt in Upper Jurassic Carbonates (Southern Germany).” SEPM Journal of Sedimentary Research, vol. Vol. 68 (1998), 1998. DOI.org (Crossref), https://doi.org/10.1306/D42687B6-2B26-11D7-8648000102C1865D.",
Chatalov,Athanas,-,"Bosnek, Bulgaria",42.833333,23.3,,,,Triassic,Late,Carnian-Norian,Tran Formation,Balkanide,2022,10.1007/s00531-021-02124-7,"An ancient analogue of carbonate beach complex: the Upper Triassic limestones of Tran Formation, southwestern Bulgaria","Chatalov, Athanas. “An Ancient Analogue of Carbonate Beach Complex: The Upper Triassic Limestones of Tran Formation, Southwestern Bulgaria.” International Journal of Earth Sciences, vol. 111, no. 2, Mar. 2022, pp. 463–89. Springer Link, https://doi.org/10.1007/s00531-021-02124-7.",
Chatalov,Athanas,-,"Chukovets, Bulgaria",42.733333,23.066667,,,,Triassic,Late,Carnian,Tran Formation,Balkanide,2022,10.1007/s00531-021-02124-7,"An ancient analogue of carbonate beach complex: the Upper Triassic limestones of Tran Formation, southwestern Bulgaria","Chatalov, Athanas. “An Ancient Analogue of Carbonate Beach Complex: The Upper Triassic Limestones of Tran Formation, Southwestern Bulgaria.” International Journal of Earth Sciences, vol. 111, no. 2, Mar. 2022, pp. 463–89. Springer Link, https://doi.org/10.1007/s00531-021-02124-7.",
Chen,Pei-yuan,"Tan, Xiu-cheng; Liu, Hong; Ma, Teng; Luo, Bing; Jiang, Xing-fu; Yu, Yang; Jin, Xiu-ju","NE Sichuan, China",31.5,107.983333,,,,Triassic,Early,-,Feixianguan,Sichuan Basin,2014,10.1007/s11771-014-2299-3,"Formation mechanism of reservoir oolitic dolomite in Lower Triassic Feixianguan formation, northeastern Sichuan Basin, southwest China","Chen, Pei-yuan, et al. “Formation Mechanism of Reservoir Oolitic Dolomite in Lower Triassic Feixianguan Formation, Northeastern Sichuan Basin, Southwest China.” Journal of Central South University, vol. 21, no. 8, Aug. 2014, pp. 3263–74. Springer Link, https://doi.org/10.1007/s11771-014-2299-3.",
Chen,Pei-yuan,"Tan, Xiu-cheng; Liu, Hong; Ma, Teng; Luo, Bing; Jiang, Xing-fu; Yu, Yang; Jin, Xiu-ju","NE Sichuan, China",31.75,107.5,,,,Triassic,Early,-,Feixianguan,Sichuan Basin,2014,10.1007/s11771-014-2299-3,"Formation mechanism of reservoir oolitic dolomite in Lower Triassic Feixianguan formation, northeastern Sichuan Basin, southwest China","Chen, Pei-yuan, et al. “Formation Mechanism of Reservoir Oolitic Dolomite in Lower Triassic Feixianguan Formation, Northeastern Sichuan Basin, Southwest China.” Journal of Central South University, vol. 21, no. 8, Aug. 2014, pp. 3263–74. Springer Link, https://doi.org/10.1007/s11771-014-2299-3.",
Chen,Pei-yuan,"Guo, Lina; Li, Chen; Tong, Yi",SW Iraq,32.563176,46.293076,,,,Cretaceous,Late,Cenomanian-Turonian,Mishrif Formation,Missan Oil Fields,2022,10.1007/s11707-020-0864-7,"Karstification characteristics of the Cenomanian–Turonian  Mishrif Formation in the Missan Oil Fields, southeastern Iraq,  and their effects on reservoirs","Chen, Peiyuan, et al. “Karstification Characteristics of the Cenomanian-Turonian Mishrif Formation in the Missan Oil Fields, Southeastern Iraq, and Their Effects on Reservoirs.” Frontiers of Earth Science, vol. 16, no. 2, June 2022, pp. 435–45. Springer Link, https://doi.org/10.1007/s11707-020-0864-7.",
Claussen,Anna Lene,"Munnecke, Axel; Ernst, Andrej","Hogklint, Sweden",57.600083,18.201583,,,,Silurian,Wenlock,Sheinwoodian,Hogklint Formation,Baltic Basin,2022,10.1111/sed.12863,Bryozoan-rich stromatolites (bryostromatolites) from the Silurian of Gotland and their relation to climate-related perturbations of the global carbon cycle,"Claussen, Anna Lene, et al. “Bryozoan-Rich Stromatolites (Bryostromatolites) from the Silurian of Gotland and Their Relation to Climate-Related Perturbations of the Global Carbon Cycle.” Sedimentology, vol. 69, no. 1, 2022, pp. 162–98. Wiley Online Library, https://doi.org/10.1111/sed.12863.",
Claussen,Anna Lene,"Munnecke, Axel; Ernst, Andrej","Nors Stenbrott, Sweden",57.919167,18.921944,,,,Silurian,Wenlock,Sheinwoodian,Tofta Formation,Baltic Basin,2022,10.1111/sed.12863,Bryozoan-rich stromatolites (bryostromatolites) from the Silurian of Gotland and their relation to climate-related perturbations of the global carbon cycle,"Claussen, Anna Lene, et al. “Bryozoan-Rich Stromatolites (Bryostromatolites) from the Silurian of Gotland and Their Relation to Climate-Related Perturbations of the Global Carbon Cycle.” Sedimentology, vol. 69, no. 1, 2022, pp. 162–98. Wiley Online Library, https://doi.org/10.1111/sed.12863.",
Claussen,Anna Lene,"Munnecke, Axel; Ernst, Andrej","Hallagrund, Sweden",57.925944,29.048944,,,,Silurian,Wenlock,Sheinwoodian,Hangvar Formation,Baltic Basin,2022,10.1111/sed.12863,Bryozoan-rich stromatolites (bryostromatolites) from the Silurian of Gotland and their relation to climate-related perturbations of the global carbon cycle,"Claussen, Anna Lene, et al. “Bryozoan-Rich Stromatolites (Bryostromatolites) from the Silurian of Gotland and Their Relation to Climate-Related Perturbations of the Global Carbon Cycle.” Sedimentology, vol. 69, no. 1, 2022, pp. 162–98. Wiley Online Library, https://doi.org/10.1111/sed.12863.",
Claussen,Anna Lene,"Munnecke, Axel; Ernst, Andrej","Nyan, Sweden",57.275889,18.706028,,,,Silurian,Ludlow,Ludfordian,Eke Formation,Baltic Basin,2022,10.1111/sed.12863,Bryozoan-rich stromatolites (bryostromatolites) from the Silurian of Gotland and their relation to climate-related perturbations of the global carbon cycle,"Claussen, Anna Lene, et al. “Bryozoan-Rich Stromatolites (Bryostromatolites) from the Silurian of Gotland and Their Relation to Climate-Related Perturbations of the Global Carbon Cycle.” Sedimentology, vol. 69, no. 1, 2022, pp. 162–98. Wiley Online Library, https://doi.org/10.1111/sed.12863.",
Claussen,Anna Lene,"Munnecke, Axel; Ernst, Andrej","Lau Backer, Sweden",57.287472,18.639028,,,,Silurian,Ludlow,Ludfordian,Eke Formation,Baltic Basin,2022,10.1111/sed.12863,Bryozoan-rich stromatolites (bryostromatolites) from the Silurian of Gotland and their relation to climate-related perturbations of the global carbon cycle,"Claussen, Anna Lene, et al. “Bryozoan-Rich Stromatolites (Bryostromatolites) from the Silurian of Gotland and Their Relation to Climate-Related Perturbations of the Global Carbon Cycle.” Sedimentology, vol. 69, no. 1, 2022, pp. 162–98. Wiley Online Library, https://doi.org/10.1111/sed.12863.",
Claussen,Anna Lene,"Munnecke, Axel; Ernst, Andrej","Bote 2, Sweden",57.257861,18.710944,,,,Silurian,Ludlow,Ludfordian,Eke Formation,Baltic Basin,2022,10.1111/sed.12863,Bryozoan-rich stromatolites (bryostromatolites) from the Silurian of Gotland and their relation to climate-related perturbations of the global carbon cycle,"Claussen, Anna Lene, et al. “Bryozoan-Rich Stromatolites (Bryostromatolites) from the Silurian of Gotland and Their Relation to Climate-Related Perturbations of the Global Carbon Cycle.” Sedimentology, vol. 69, no. 1, 2022, pp. 162–98. Wiley Online Library, https://doi.org/10.1111/sed.12863.",
Claussen,Anna Lene,"Munnecke, Axel; Ernst, Andrej","Botvide, Sweden",57.295806,18.651222,,,,Silurian,Ludlow,Ludfordian,Eke Formation,Baltic Basin,2022,10.1111/sed.12863,Bryozoan-rich stromatolites (bryostromatolites) from the Silurian of Gotland and their relation to climate-related perturbations of the global carbon cycle,"Claussen, Anna Lene, et al. “Bryozoan-Rich Stromatolites (Bryostromatolites) from the Silurian of Gotland and Their Relation to Climate-Related Perturbations of the Global Carbon Cycle.” Sedimentology, vol. 69, no. 1, 2022, pp. 162–98. Wiley Online Library, https://doi.org/10.1111/sed.12863.",
Claussen,Anna Lene,"Munnecke, Axel; Ernst, Andrej","Hallsarve 1, Sweden",57.288,18.645833,,,,Silurian,Ludlow,Ludfordian,Eke Formation,Baltic Basin,2022,10.1111/sed.12863,Bryozoan-rich stromatolites (bryostromatolites) from the Silurian of Gotland and their relation to climate-related perturbations of the global carbon cycle,"Claussen, Anna Lene, et al. “Bryozoan-Rich Stromatolites (Bryostromatolites) from the Silurian of Gotland and Their Relation to Climate-Related Perturbations of the Global Carbon Cycle.” Sedimentology, vol. 69, no. 1, 2022, pp. 162–98. Wiley Online Library, https://doi.org/10.1111/sed.12863.",
Claussen,Anna Lene,"Munnecke, Axel; Ernst, Andrej","Hallsarve 2, Sweden",57.281417,18.640111,,,,Silurian,Ludlow,Ludfordian,Eke Formation,Baltic Basin,2022,10.1111/sed.12863,Bryozoan-rich stromatolites (bryostromatolites) from the Silurian of Gotland and their relation to climate-related perturbations of the global carbon cycle,"Claussen, Anna Lene, et al. “Bryozoan-Rich Stromatolites (Bryostromatolites) from the Silurian of Gotland and Their Relation to Climate-Related Perturbations of the Global Carbon Cycle.” Sedimentology, vol. 69, no. 1, 2022, pp. 162–98. Wiley Online Library, https://doi.org/10.1111/sed.12863.",
Claussen,Anna Lene,"Munnecke, Axel; Ernst, Andrej","Hoburgen, Sweden",56.922361,18.128833,,,,Silurian,Ludlow,Ludfordian,Hamra Formation,Baltic Basin,2022,10.1111/sed.12863,Bryozoan-rich stromatolites (bryostromatolites) from the Silurian of Gotland and their relation to climate-related perturbations of the global carbon cycle,"Claussen, Anna Lene, et al. “Bryozoan-Rich Stromatolites (Bryostromatolites) from the Silurian of Gotland and Their Relation to Climate-Related Perturbations of the Global Carbon Cycle.” Sedimentology, vol. 69, no. 1, 2022, pp. 162–98. Wiley Online Library, https://doi.org/10.1111/sed.12863.",
Cossey,Patrick J.,"Mundy, David J.C.","Stebden Hill, England",54.049763,-1.974656,,,330.9-323.2,Carboniferous,Middle,-,Craven Reef Belt,Craven Basin,1990,10.1111/j.1502-3931.1990.tb01457.x,Tetrataxis: a loosely attached limpet‐like foraminifer from the Upper Palaeozoic,"Cossey, Patrick J., and David J. C. Mundy. “Tetrataxis: A Loosely Attached Limpet‐like Foraminifer from the Upper Palaeozoic.” Lethaia, vol. 23, no. 3, 1990, pp. 311–22, https://doi.org/10.1111/j.1502-3931.1990.tb01457.x.",
Courgeon,S,"Jorry, SJ; Jouet, G; Camoin, G; BouDagher-Fadel, MK; Bachelery, P; Caline, B; Boichard, R; Revillon, S; Thomas, Y; Thereau, E; Guerin, C","Mozambique Channel, Indian Ocean",-21.517452,39.716821,,,11.63-7.246,Neogene,Miocene,Tortonian,MOZ1-DR20-01 Atoll,Mozambique Channel,2017,10.1016/j.sedgeo.2017.04.008,Impact of tectonic and volcanism on the Neogene evolution of isolated carbonate platforms (SW Indian Ocean),"Courgeon, S., et al. “Impact of Tectonic and Volcanism on the Neogene Evolution of Isolated Carbonate Platforms (SW Indian Ocean).” Sedimentary Geology, vol. 355, June 2017, pp. 114–31. ScienceDirect, https://doi.org/10.1016/j.sedgeo.2017.04.008.",
Cozzi,Andrea,-,"Monte Pramaggiore, Italy",46.362538,12.558538,,,,Triassic,Late,Norian,Dolomia Principale,Carnian Prealps,2002,10.1007/bf02667711,"Facies patterns of a tectonically-controlled Upper Triassic platform-slope carbonate depositional system (Carnian Prealps, Northeastern Italy)","Cozzi, A. “Facies Patterns of a Tectonically-Controlled Upper Triassic Platform-Slope Carbonate Depositional System (Carnian Prealps, Northeastern Italy).” Facies, no. 47, 2002, pp. 151–78. Scopus, Scopus, https://doi.org/10.1007/bf02667711.",
Cvetko Tesovic,Blanka,"Gusic, Ivan; Jelaska, Vladimir; Buckovic, Damir","Island of Brač, Croatia",43.344338,16.737883,,,,Cretaceous,Late,Campanian,Pučišća Fmt,Island of Brač,2001,10.1006/cres.2001.0279,"Stratigraphy and microfacies of the Upper Cretaceous Pučišća Formation, Island of Brač, Croatia","Cvetko Tesovic;, Blanka, et al. “Stratigraphy and Microfacies of the Upper Cretaceous Pučišća Formation, Island of Brač, Croatia.” Cretaceous Research, vol. 22, no. 5, Oct. 2001, pp. 591–613. DOI.org (Crossref), https://doi.org/10.1006/cres.2001.0279.",
D'Alessandro,A,"Massari, F; Davaud, Eric; Ghibaudo, Guido","Salento, Italy",40.320543,18.142461,,,5-3.6,Neogene,Pliocene,Middle-Late,San Pietro in Lama Quarry,Novoli graben,2004,10.1016/j.sedgeo.2003.11.017,"Pliocene–Pleistocene sequences bounded by subaerial unconformities within foramol ramp calcarenites and mixed deposits (Salento, SE Italy)","D’Alessandro, A., et al. “Pliocene–Pleistocene Sequences Bounded by Subaerial Unconformities within Foramol Ramp Calcarenites and Mixed Deposits (Salento, SE Italy).” Sedimentary Geology, vol. 166, no. 1, Apr. 2004, pp. 89–144. ScienceDirect, https://doi.org/10.1016/j.sedgeo.2003.11.017.",
