First Author (last),First Author (first),et al.,Modern Location,Modern Latitude,Modern Longitude,Paleo-Latitude,Paleo-Longitude,Numerical Age,Period,Epoch,Age,Formation,Host Litho,Year,DOI,Title,Citation (MLA 9),Note
Semeniuk,V,"Percival, I.G.; Brocx, M.","Cliefden Caves, NSW, Australia",-33.584565,148.893371,,,456-450,Ordovician,Late,Sandbian-Katian,Fossil Hill Limestone,Bowan Park Subgroup,2019,10.1080/08120099.2019.1577297,"Subaerial disconformities, microkarst and paleosols in Ordovician limestones at Bowan Park and Cliefden Caves, New South Wales, and their geoheritage significance","Semeniuk, V., et al. “Subaerial Disconformities, Microkarst and Paleosols in Ordovician Limestones at Bowan Park and Cliefden Caves, New South Wales, and Their Geoheritage Significance.” Australian Journal of Earth Sciences, vol. 66, no. 6, Aug. 2019, pp. 891–906. DOI.org (Crossref), https://doi.org/10.1080/08120099.2019.1577297.",
Semeniuk,V,"Percival, I.G.; Brocx, M.","Cudal, NSW, Australia",-33.448724,148.865889,,,456-450 ,Ordovician,Late,Sandbian-Katian,Bourimbla Limestone,Bowan Park Subgroup,2019,10.1080/08120099.2019.1577297,"Subaerial disconformities, microkarst and paleosols in Ordovician limestones at Bowan Park and Cliefden Caves, New South Wales, and their geoheritage significance","Semeniuk, V., et al. “Subaerial Disconformities, Microkarst and Paleosols in Ordovician Limestones at Bowan Park and Cliefden Caves, New South Wales, and Their Geoheritage Significance.” Australian Journal of Earth Sciences, vol. 66, no. 6, Aug. 2019, pp. 891–906. DOI.org (Crossref), https://doi.org/10.1080/08120099.2019.1577297.",
Shang,Junxin,"Feng, Mingyou; Wang, Xingzhi; Zhang, Benjian; Xu, Liang; Liu, Xiaohong","Wulong Town, Sichuan China",30.405644,102.767384,,,290.1-264.28,Permian,Middle,-,Qixia Formation,Sichuan Basin,2023,10.1038/s41598-023-40334-y,"Alteration effects of karstification and hydrothermalism on middle Permian Qixia formation at the Wulong section, South China","Shang, Junxin, et al. “Alteration Effects of Karstification and Hydrothermalism on Middle Permian Qixia Formation at the Wulong Section, South China.” Scientific Reports, vol. 13, no. 1, Aug. 2023, p. 13128. www.nature.com, https://doi.org/10.1038/s41598-023-40334-y.",
Soreghan,Gerilyn S.,"Engel, Michael H.; Furley, Roger A.; Giles, Katherine A.","Hembrillo Canyon, New Mexico, USA",33.014491,-106.616351,,,303.4-299,Carboniferous,Late,Virgilian,Panther Seep Formation,Orogrande Basin,2000,10.1306/032100701315,"Glacioeustatic Transgressive Reflux: Stratiform Dolomite in Pennsylvanian Bioherms of the Western Orogrande Basin, New Mexico","Soreghan, Gerilyn S., et al. “Glacioeustatic Transgressive Reflux: Stratiform Dolomite in Pennsylvanian Bioherms of the Western Orogrande Basin, New Mexico.” Journal of Sedimentary Research, vol. 70, no. 6, Nov. 2000, pp. 1315–32. DOI.org (Crossref), https://doi.org/10.1306/032100701315.",
Spalluto,Luigi,-,"Borgo Celano village, Italy",41.685806,15.65946,,,,Cretaceous,Early,-,Gargano Promontory,Apulian Foreland,2008,-,"Sedimentology and high-resolution sequence stratigraphy of a lower Cretaceous shallow-water carbonate succession from the Western Gargano Promontory (Apulia, Southern Italy)","Spalluto, Luigi. “Sedimentology and High-Resolution Sequence Stratigraphy of a Lower Cretaceous Shallow-Water Carbonate Succession from the Western Gargano Promontory (Apulia, Southern Italy).” GeoActa, vol. Special Publication, no. 1, 2008, pp. 173–91. Scopus.",
Spalluto,Luigi,-,"Bari, Italy",41.126861,16.83208,,,,Cretaceous,Middle,Albian-Cenomanian,Calcare di bari fm,Apulia Carbonate Platform,2012,10.1007/s10347-011-0266-0,"Facies evolution and sequence chronostratigraphy of a “mid”-Cretaceous shallow-water carbonate succession of the Apulia Carbonate Platform from the northern Murge area (Apulia, southern Italy)","Spalluto, Luigi. “Facies Evolution and Sequence Chronostratigraphy of a ‘Mid’-Cretaceous Shallow-Water Carbonate Succession of the Apulia Carbonate Platform from the Northern Murge Area (Apulia, Southern Italy).” Facies, vol. 58, no. 1, 2012, pp. 17–36. Springer Link, https://doi.org/10.1007/s10347-011-0266-0.",
Spalluto,Luigi,"Petruzzelli, Marco; Sabato, Luisa; Tropeano, Marcello","Giovinazzo, Italy",41.189131,16.660431,,,,Cretaceous,Middle,Albian-Cenomanian,Calcare di bari fm,Apulia Carbonate Platform,2025,10.1002/dep2.305,"Cretaceous cyclic peritidal carbonates of the Apulia Carbonate Platform (Apulia, southern Italy) in a hierarchical sequence-stratigraphic perspective: A case study from the Murge area (the Giovinazzo sea-cliff section)","Spalluto, Luigi, et al. “Cretaceous Cyclic Peritidal Carbonates of the Apulia Carbonate Platform (Apulia, Southern Italy) in a Hierarchical Sequence-Stratigraphic Perspective: A Case Study from the Murge Area (the Giovinazzo Sea-Cliff Section).” The Depositional Record, vol. 11, no. 1, 2025, pp. 328–53. Wiley Online Library, https://doi.org/10.1002/dep2.305.",
Steinhauff,D. Mark,"Walker, Kenneth R.","Thorn Hill, TN, USA",36.354772,-83.418325,,,,Ordovician,Middle,-,-,Southern Appalachians,1995,10.1306/D4268211-2B26-11D7-8648000102C1865D,"Recognizing exposure, drowning, and ""missed beats""; platform-interior to platform-margin sequence stratigraphy of Middle Ordovician limestones, East Tennessee","Steinhauff, D. Mark, and Kenneth R. Walker. “Recognizing Exposure, Drowning, and ‘Missed Beats’; Platform-Interior to Platform-Margin Sequence Stratigraphy of Middle Ordovician Limestones, East Tennessee.” Journal of Sedimentary Research, vol. 65, no. 2b, May 1995, pp. 183–207. DOI.org (Crossref), https://doi.org/10.1306/D4268211-2B26-11D7-8648000102C1865D.",
Steinhauff,D. Mark,"Walker, Kenneth R.","Thorn Hill, TN, USA",36.355065,-83.439445,,,,Ordovician,Middle,-,Rockdell Fmt,Southern Appalachians,1996,10.1130/0-8137-2306-X.87,"Sequence stratigraphy of an apparently noncyclic carbonate succession: Recognizing subaerial exposure in a largely subtidal, Middle Ordovician stratigraphic sequence in eastern Tennessee","Steinhauff, D. Mark, and Kenneth R. Walker. “Sequence Stratigraphy of an Apparently Noncyclic Carbonate Succession: Recognizing Subaerial Exposure in a Largely Subtidal, Middle Ordovician Stratigraphic Sequence in Eastern Tennessee.” Special Paper of the Geological Society of America, vol. 306, 1996, pp. 87–115. Scopus, Scopus, https://doi.org/10.1130/0-8137-2306-X.87.",
Su,Chengpeng,"Tan, Xiucheng; Shi, Kailan; Lu, Feifan; Luo, Sicong; Tang, Hao; Zhang, Xinyu","Chongqing, China",29.688855,106.464806,,,201.3-174.1,Jurassic,Early,-,Da'anzhai member,Sichuan Basin,2017,10.1016/j.petlm.2016.12.006,"Characteristics and significance of the penecontemporaneous karst in lacustrine carbonate, Da'anzhai Member, Lower Jurassic, Beibei area, eastern Sichuan Basin","Su, Chengpeng, et al. “Characteristics and Significance of the Penecontemporaneous Karst in Lacustrine Carbonate, Da’anzhai Member, Lower Jurassic, Beibei Area, Eastern Sichuan Basin.” Petroleum, vol. 3, no. 3, Sept. 2017, pp. 292–300. ScienceDirect, https://doi.org/10.1016/j.petlm.2016.12.006.",
